,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_ref,week_open,week_close
0,1,1.0,Poesia Acústica 13,"Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã & N.I.N.A",6,9006855,-0.2%,https://www.youtube.com/watch?v=69-jnA4QLSM,33,2022-10-21,2022-10-27
1,2,3.0,Felina,WIU & MC Ryan SP,5,8638595,12%,https://www.youtube.com/watch?v=wFBp_PHXrf4,33,2022-10-21,2022-10-27
2,3,2.0,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,5,8541092,8.4%,https://www.youtube.com/watch?v=af8fdbaB8JY,33,2022-10-21,2022-10-27
3,4,9.0,"ORUAM"" - SOLDADO DO MARCINHO, BRABÃO DE ALEMÃOZIN BRECHAR PRA MIM [ ÁUDIO COMPLETO ]",Oruam,4,7983194,28.8%,https://www.youtube.com/watch?v=rALK230exU0,33,2022-10-21,2022-10-27
4,5,4.0,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",17,7101698,-0%,https://www.youtube.com/watch?v=8NjXVsLHIg8,33,2022-10-21,2022-10-27
5,6,7.0,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,14,6996869,7.9%,https://www.youtube.com/watch?v=qjxNM9qF3LA,33,2022-10-21,2022-10-27
6,7,6.0,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,16,6687005,-2.2%,https://www.youtube.com/watch?v=WiNYFwIfg4w,33,2022-10-21,2022-10-27
7,8,8.0,"Pipoco (feat. Melody, Dj Chris No Beat & Dj Chris No Beat)",Ana Castela,23,6257420,-0.8%,https://www.youtube.com/watch?v=69JAoslGYI8,33,2022-10-21,2022-10-27
8,9,5.0,Te Love (Ao Vivo),Kevi Jonny,8,6205594,-9.5%,https://www.youtube.com/watch?v=vBQbH4mA_z0,33,2022-10-21,2022-10-27
9,10,,50 Cópias,Zé Felipe,1,6186744,,https://www.youtube.com/watch?v=VA1PMms8Vio,33,2022-10-21,2022-10-27
10,11,17.0,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,5,6185875,43%,https://www.youtube.com/watch?v=J3H--06Xw6g,33,2022-10-21,2022-10-27
11,12,12.0,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,16,5256745,-3.6%,https://www.youtube.com/watch?v=hOGuaMazCz8,33,2022-10-21,2022-10-27
12,13,10.0,X1,MC Cabelinho & Dallass,31,5199295,-8.1%,https://www.youtube.com/watch?v=zgdQsLH7sDw,33,2022-10-21,2022-10-27
13,14,13.0,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,27,5012826,-2%,https://www.youtube.com/watch?v=psdZRggL7cI,33,2022-10-21,2022-10-27
14,15,11.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,30,4783522,-14.9%,https://www.youtube.com/watch?v=rTJSWmgbVwA,33,2022-10-21,2022-10-27
15,16,20.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,41,4563472,9.8%,https://www.youtube.com/watch?v=kyfXEMqvLgU,33,2022-10-21,2022-10-27
16,17,15.0,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, MC Erik & Dj GM",18,4562094,-0%,https://www.youtube.com/watch?v=nbTAKkjnV_Q,33,2022-10-21,2022-10-27
17,18,18.0,NÉ SEGREDO,MC Cabelinho,6,4404717,2.5%,https://www.youtube.com/watch?v=GqLrlHHeww0,33,2022-10-21,2022-10-27
18,19,27.0,Pega o Guanabara,Wesley Safadão & Alanzim Coreano,3,4320495,25.1%,https://www.youtube.com/watch?v=uBc1wkTMywM,33,2022-10-21,2022-10-27
19,20,14.0,Set Wesley Alemão,"Mc Lipi , MC Paulin da Capital, MC Lemos, Gabb MC, Mc Paiva ZS, MC Lele JP, Mc Piedro & MC Ryan SP",8,4172262,-10.4%,https://www.youtube.com/watch?v=,33,2022-10-21,2022-10-27
20,21,21.0,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",21,4126186,-0.4%,https://www.youtube.com/watch?v=NbB6qMA2lts,33,2022-10-21,2022-10-27
21,22,19.0,Esperando Você / Mundo Inteiro (Ao Vivo),João Gomes & Yara Tchê,3,4068081,-4.7%,https://www.youtube.com/watch?v=FQgZAj45ojY,33,2022-10-21,2022-10-27
22,23,28.0,Doce Veneno,"Mc Paiva ZS, Love Funk & Kotim",13,4023306,17.5%,https://www.youtube.com/watch?v=thfYx-W63ws,33,2022-10-21,2022-10-27
23,24,,Anti-Hero,Taylor Swift,1,3978846,,https://www.youtube.com/watch?v=b1kbLwvqugk,33,2022-10-21,2022-10-27
24,25,22.0,Seu Perfil (Ao Vivo),Henrique & Juliano,39,3765039,-5.9%,https://www.youtube.com/watch?v=KvAagUxO3OY,33,2022-10-21,2022-10-27
25,26,30.0,Quem Não Conhece Tá Sem Internet,"MC Marks, DJ BOY & Dj GM",8,3727501,11.9%,https://www.youtube.com/watch?v=oc0wsia4b3E,33,2022-10-21,2022-10-27
26,27,23.0,Ex dos Meus Sonhos (Ao Vivo),Gusttavo Lima,3,3468858,-11%,https://www.youtube.com/watch?v=d7NMHcIecCE,33,2022-10-21,2022-10-27
27,28,26.0,Gostosinha é Ela,Felipe Amorim,14,3447981,-3%,https://www.youtube.com/watch?v=zSRjeUpQUwI,33,2022-10-21,2022-10-27
28,29,29.0,Ô Lá na Roça (Ao Vivo),Felipe & Murillo & Ana Castela,14,3422055,2.4%,https://www.youtube.com/watch?v=pPxs52_MVIU,33,2022-10-21,2022-10-27
29,30,25.0,Intuição (Ao Vivo),Mari Fernandez,25,3300945,-9.5%,https://www.youtube.com/watch?v=rfkXgby-xn0,33,2022-10-21,2022-10-27
30,31,32.0,Unholy (Live),Kim Petras & Sam Smith,5,3228520,4.9%,https://www.youtube.com/watch?v=Uq9gPaIzbe8,33,2022-10-21,2022-10-27
