Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_ref,week_open,week_close,Publish Date,frontline
1,1,Malvada,Zé Felipe,2,21185310,0.098,https://www.youtube.com/watch?v=r0mNwyywHIY,70,2022-02-04,2022-02-10,2022-01-28,True
1,1,Malvada,Zé Felipe,3,17507479,-0.174,https://www.youtube.com/watch?v=r0mNwyywHIY,69,2022-02-11,2022-02-17,2022-01-28,True
1,1,Malvada,Zé Felipe,4,16148340,-0.078,https://www.youtube.com/watch?v=r0mNwyywHIY,68,2022-02-18,2022-02-24,2022-01-28,True
1,1,Malvada,Zé Felipe,5,17136822,0.061,https://www.youtube.com/watch?v=r0mNwyywHIY,67,2022-02-25,2022-03-03,2022-01-28,True
1,1,Malvada,Zé Felipe,6,14849090,-0.133,https://www.youtube.com/watch?v=r0mNwyywHIY,66,2022-03-04,2022-03-10,2022-01-28,True
1,1,Malvada,Zé Felipe,7,13710100,-0.077,https://www.youtube.com/watch?v=r0mNwyywHIY,65,2022-03-11,2022-03-17,2022-01-28,True
2,1,Malvada,Zé Felipe,8,11281943,-0.177,https://www.youtube.com/watch?v=r0mNwyywHIY,64,2022-03-18,2022-03-24,2022-01-28,True
3,2,Malvada,Zé Felipe,9,10740459,-0.048,https://www.youtube.com/watch?v=r0mNwyywHIY,63,2022-03-25,2022-03-31,2022-01-28,True
3,3,Malvada,Zé Felipe,10,9881685,-0.08,https://www.youtube.com/watch?v=r0mNwyywHIY,62,2022-04-01,2022-04-07,2022-01-28,True
2,3,Malvada,Zé Felipe,11,9827508,-0.005,https://www.youtube.com/watch?v=r0mNwyywHIY,61,2022-04-08,2022-04-14,2022-01-28,True
6,2,Malvada,Zé Felipe,12,8607050,-0.124,https://www.youtube.com/watch?v=r0mNwyywHIY,60,2022-04-15,2022-04-21,2022-01-28,True
8,6,Malvada,Zé Felipe,13,7178896,-0.166,https://www.youtube.com/watch?v=r0mNwyywHIY,59,2022-04-22,2022-04-28,2022-01-28,True
11,8,Malvada,Zé Felipe,14,6427674,-0.105,https://www.youtube.com/watch?v=r0mNwyywHIY,58,2022-04-29,2022-05-05,2022-01-28,True
10,11,Malvada,Zé Felipe,15,5925561,-0.078,https://www.youtube.com/watch?v=r0mNwyywHIY,57,2022-05-06,2022-05-12,2022-01-28,True
12,10,Malvada,Zé Felipe,16,5538822,-0.065,https://www.youtube.com/watch?v=r0mNwyywHIY,56,2022-05-13,2022-05-19,2022-01-28,True
10,12,Malvada,Zé Felipe,17,5706086,0.03,https://www.youtube.com/watch?v=r0mNwyywHIY,55,2022-05-20,2022-05-26,2022-01-28,True
13,10,Malvada,Zé Felipe,18,5918167,0.037000000000000005,https://www.youtube.com/watch?v=r0mNwyywHIY,54,2022-05-27,2022-06-02,2022-01-28,True
